Player,Year,Kicks,Marks,Hand Balls,Disp,Goals,Behinds,Hit Outs,Tackles,Rebounds,Inside 50,Clearances,Clangers,Frees For,Frees Against,Uncontested Possessions,Contested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Kicks G,Marks G,Hand Balls G,Disp G,Goals G,Behinds G,Hit Outs G,Tackles G,Rebounds G,Inside 50 G,Clearances G,Clangers G,Frees For G,Frees Against G,Uncontested Possessions G,Contested Possessions G,Contested Marks G,Marks Inside 50 G,One Percenters G,Bounces G,Brownlow
Nick Graham,2016,13,7,10,23,0,1,0,3,1,4,1,2,2,1,4,19,0,1,0,0,0.5789473684210525,0.7000000000000001,0.5,0.7142857142857143,0.0,0.5,0.0,0.42857142857142855,0.125,0.5,0.1,0.3333333333333333,0.5,0.3333333333333333,0.1875,0.8,0.0,0.3333333333333333,0.0,0.0,0
Michael Jamison,2016,4,3,5,9,0,0,0,0,2,0,1,1,0,1,4,7,0,0,6,0,0.10526315789473684,0.30000000000000004,0.22222222222222224,0.21428571428571425,0.0,0.0,0.0,0.0,0.25,0.0,0.1,0.16666666666666666,0.0,0.3333333333333333,0.1875,0.2,0.0,0.0,0.8571428571428571,0.0,0
Sam Kerridge,2016,16,7,8,24,0,1,0,2,0,8,6,4,1,1,10,15,0,1,0,0,0.7368421052631579,0.7000000000000001,0.38888888888888884,0.75,0.0,0.5,0.0,0.2857142857142857,0.0,1.0,0.6000000000000001,0.6666666666666666,0.25,0.3333333333333333,0.5625,0.6,0.0,0.3333333333333333,0.0,0.0,0
Matthew Kreuzer,2016,5,2,5,10,1,0,16,3,2,2,3,4,0,2,4,5,0,0,4,0,0.15789473684210525,0.2,0.22222222222222224,0.24999999999999994,0.3333333333333333,0.0,0.6666666666666666,0.42857142857142855,0.25,0.25,0.30000000000000004,0.6666666666666666,0.0,0.6666666666666666,0.1875,0.09999999999999998,0.0,0.0,0.5714285714285714,0.0,0
Jed Lamb,2016,9,2,4,13,1,0,0,1,0,1,0,3,2,1,4,9,0,1,2,1,0.3684210526315789,0.2,0.16666666666666666,0.3571428571428571,0.3333333333333333,0.0,0.0,0.14285714285714285,0.0,0.125,0.0,0.5,0.5,0.3333333333333333,0.1875,0.3,0.0,0.3333333333333333,0.2857142857142857,1.0,0
Marc Murphy,2016,16,7,11,27,1,1,0,6,1,6,3,1,4,0,6,20,0,1,0,1,0.7368421052631579,0.7000000000000001,0.5555555555555555,0.8571428571428571,0.3333333333333333,0.5,0.0,0.8571428571428571,0.125,0.75,0.30000000000000004,0.16666666666666666,1.0,0.0,0.3125,0.85,0.0,0.3333333333333333,0.0,1.0,0
Andrew Phillips,2016,3,2,2,5,1,0,21,2,0,2,1,1,0,1,4,3,1,1,3,0,0.05263157894736842,0.2,0.05555555555555555,0.07142857142857141,0.3333333333333333,0.0,0.875,0.2857142857142857,0.0,0.25,0.1,0.16666666666666666,0.0,0.3333333333333333,0.1875,0.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.0,0
Sam Rowe,2016,7,6,5,12,0,0,0,0,1,1,0,2,1,1,3,9,1,0,7,0,0.2631578947368421,0.6000000000000001,0.22222222222222224,0.3214285714285714,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.3333333333333333,0.25,0.3333333333333333,0.125,0.3,0.3333333333333333,0.0,1.0,0.0,0
Kade Simpson,2016,21,10,10,31,0,0,0,1,7,4,2,2,1,0,6,23,0,1,2,0,0.9999999999999999,1.0,0.5,0.9999999999999999,0.0,0.0,0.0,0.14285714285714285,0.875,0.5,0.2,0.3333333333333333,0.25,0.0,0.3125,1.0,0.0,0.3333333333333333,0.2857142857142857,0.0,0
Zach Tuohy,2016,13,5,5,18,0,0,0,1,1,6,0,3,1,2,5,14,0,0,2,0,0.5789473684210525,0.5,0.22222222222222224,0.5357142857142857,0.0,0.0,0.0,0.14285714285714285,0.125,0.75,0.0,0.5,0.25,0.6666666666666666,0.25,0.55,0.0,0.0,0.2857142857142857,0.0,0
